lead_id,age_group,service_interest,lead_source,budget_range,previous_interaction,response_time_hours,pages_visited,email_opens,engagement_score,converted
VX-100363,18-24,Web Development,Paid Ads,,Yes,18.3,4,3,72.0,0
VX-100823,35-44,Web Development,Paid Ads,Medium,No,39.8,4,3,53.0,1
VX-100872,55+,App Development,Social Media,Medium,No,15.3,3,1,42.0,0
VX-100405,45-54,SEO,Social Media,Low,No,3.3,2,2,43.0,0
VX-100605,45-54,Branding,Paid Ads,Medium,No,6.4,3,2,36.0,1
VX-100675,25-34,Digital Marketing,Social Media,Medium,No,35.3,5,1,41.0,0
VX-101129,55+,SEO,Email Campaign,Low,No,4.3,2,2,32.0,0
VX-100107,25-34,Digital Marketing,Website Form,Low,no,15.1,4,1,28.0,0
VX-101390,55+,App Development,Website Form,Medium,Yes,17.4,6,0,47.0,1
VX-100245,45-54,Digital Marketing,Email Campaign,Medium,No,-17.7,4,2,44.0,1
VX-100022,55+,Digital Marketing,Website Form,Low,No,15.4,5,1,44.0,0
VX-100887,18-24,App Development,Email Campaign,Medium,No,,1,0,4.0,0
VX-100771,35-44,Web Development,Website Form,,Yes,6.6,6,1,59.0,1
VX-100164,35-44,App Development,Website Form,Medium,no,11.6,6,2,58.0,1
VX-100903,35-44, Digital Marketing ,Paid Ads,Medium,No,17.3,2,1,36.0,0
VX-100762,18-24,Digital Marketing,Email Campaign,Medium,NO,10.2,3,1,45.0,0
VX-100750,25-34,SEO,Email Campaign,Low,No,4.6,5,2,45.0,0
VX-100834,35-44,App Development,Referral,Medium,No,5.7,5,1,54.0,0
VX-101181,18-24,App Development,Social Media,Medium,No,14.6,3,3,60.0,1
VX-100331,25-34,Web Development,Email Campaign,Low,Yes,9.0,9,3,93.0,1
VX-100411,35-44,Digital Marketing,Paid Ads,Low,No,7.0,3,2,38.0,0
VX-101317,18-24,Branding,Email Campaign,Low,No,7.8,5,3,57.0,0
VX-101071,35-44,App Development,Website Form,High,Yes,23.2,2,5,55.0,0
VX-100221,35-44,Digital Marketing,Paid Ads,Low,No,32.8,4,2,47.0,1
VX-100259,35-44,Web Development,Website Form,High,Yes,3.5,5,3,49.0,1
VX-100386,35-44,Digital Marketing,Paid Ads,Medium,Yes,,6,4,75.0,1
VX-100082,45-54,SEO,Referral,Medium,Yes,9.5,7,7,,1
VX-100447,35-44,SEO,Paid Ads,Low,Yes,22.5,10,7,98.0,0
VX-100604,55+,Web Development,Email Campaign,High,Yes,37.4,5,3,60.0,1
VX-100631,45-54,Digital Marketing,Referral,Low,NO,3.3,4,3,61.0,1
VX-100975,35-44,Web Development,Referral,Low,No,26.3,1,1,13.0,0
VX-100616,35-44,Digital Marketing,Paid Ads,Low,No,14.3,2,2,49.0,0
VX-100988,25-34,App Development,Social Media,High,No,13.7,5,2,62.0,0
VX-100499,35-44,Web Development,Website Form,medium,Yes,12.0,3,3,46.0,1
VX-100287,25-34,Digital Marketing,Social Media,Low,Yes,6.7,6,2,50.0,0
VX-100783,35-44, Web Development ,Paid Ads,Low,No,30.3,2,2,43.0,0
VX-101238,25-34, App Development ,Social Media,High,No,8.6,2,3,50.0,0
VX-100763,18-24,Digital Marketing,Website Form,Low,Yes,30.2,5,1,33.0,0
VX-100293,18-24,App Development,Email Campaign,Low,No,3.7,2,2,31.0,0
VX-100551,25-34,Web Development,Website Form,Medium,No,1.7,5,3,56.0,1
VX-100177,55+,App Development,Paid Ads,Low,No,9.3,1,8,55.0,0
VX-100272,18-24,App Development,Paid Ads,medium,Yes,7.5,7,0,60.0,0
VX-100433,45-54,Web Development,Website Form,Low,Yes,3.1,6,2,61.0,1
VX-101377,45-54,Digital Marketing,Email Campaign,Medium,Yes,21.2,16,5,100.0,1
VX-101031,35-44,SEO,Paid Ads,High,Yes,5.5,3,2,46.0,1
VX-101015,25-34,Web Development,Social Media,Medium,Yes,47.0,5,4,63.0,0
VX-100239,18-24,App Development,Paid Ads,Low,Yes,14.8,8,4,96.0,0
VX-100042,35-44,Web Development,Social Media,Medium,no,2.9,4,2,46.0,0
VX-100070,25-34,Branding,Paid Ads,High,No,5.1,3,1,28.0,1
VX-100932,25-34,App Development,Referral,Low,No,22.8,4,1,47.0,1
VX-101322,18-24,Digital Marketing,Email Campaign,Medium,No,5.8,8,0,55.0,1
VX-100537,25-34,SEO,Email Campaign,Low,Yes,7.6,9,0,63.0,0
VX-101016,35-44,Web Development,Social Media,Low,No,9.5,4,0,34.0,0
VX-100714,45-54,Web Development,Email Campaign,Low,No,20.2,7,1,60.0,0
VX-100340,18-24,Web Development,Social Media,Low,No,19.8,3,1,42.0,0
VX-100592,25-34,Digital Marketing,Email Campaign,Low,yes,2.9,3,3,61.0,1
VX-100470,25-34,Digital Marketing,Email Campaign,Low,No,23.1,2,4,42.0,0
VX-100590,55+,Web Development,Website Form,Medium,no,11.3,2,0,38.0,0
VX-100810,18-24,Branding,Paid Ads,Low,Yes,18.7,4,4,,0
VX-100246,35-44,Digital Marketing,Social Media,Medium,No,32.7,2,0,,0
VX-100430,55+,Digital Marketing,Social Media,low,No,12.5,4,2,55.0,0
VX-100088,25-34,Branding,Website Form,High,no,2.2,2,3,32.0,0
VX-100951,25-34,App Development,Referral,Low,yes,6.1,4,1,55.0,1
VX-101314,18-24,App Development,Paid Ads,Low,No,16.3,3,4,51.0,0
VX-101169,18-24,Branding,Website Form,Low,NO,26.0,2,2,29.0,0
VX-100678,18-24,Digital Marketing,Email Campaign,Medium,No,15.0,2,2,49.0,0
VX-100127,25-34,Digital Marketing,Referral,Medium,Yes,8.7,4,5,59.0,0
VX-100214,35-44,App Development,Social Media,Low,No,20.4,4,3,50.0,0
VX-101203,35-44,App Development,Website Form,Low,No,8.7,2,2,32.0,0
VX-100449,,App Development,Social Media,Medium,No,,3,1,56.0,0
VX-100488,35-44,App Development,Website Form,High,Yes,8.9,7,3,75.0,1
VX-101296,,App Development,Referral,High,No,,5,3,56.0,0
VX-100697,35-44,Digital Marketing,Paid Ads,Medium,No,6.5,2,2,41.0,1
VX-100123,25-34,App Development,Paid Ads,Low,No,30.6,1,0,10.0,1
VX-100289,18-24,Digital Marketing,Email Campaign,Medium,yes,7.8,6,3,65.0,1
VX-101320,35-44,Digital Marketing,Email Campaign,Medium,No,13.0,3,3,50.0,0
